,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
264,265,百慮一致,0,0,0,0,1,0,0,0,0,0,0,0,0
266,267,九垓八埏,0,0,0,0,1,0,0,0,0,0,0,0,0
267,268,百無一二,1,0,0,1,1,0,0,0,0,0,0,0,0
268,269,八方四路,0,0,0,0,1,0,0,0,0,0,0,0,0
269,270,四德三從,0,0,0,0,1,0,0,0,0,0,0,0,0
270,271,一言半辭,0,0,0,0,1,0,0,0,0,0,0,0,0
271,272,十生九死,0,0,0,0,1,0,0,0,0,0,0,0,0
273,274,以一持萬,0,1,0,0,0,0,0,0,0,0,0,0,0
274,275,一步一計,0,0,0,0,1,0,0,0,0,0,0,0,0
276,277,百歲千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
277,278,千嬌萬態,0,0,0,0,1,0,0,0,0,0,0,0,0
280,281,七言八語,0,0,0,0,1,0,0,0,0,0,0,0,0
284,285,萬壑千岩,0,0,0,0,1,0,0,0,0,0,0,0,0
285,286,三秋一日,0,0,0,0,1,0,0,0,0,0,0,0,0
286,287,半心半意,0,0,0,0,1,0,0,0,0,0,0,0,0
288,289,千無一失,0,0,0,0,1,0,0,0,0,0,0,0,0
289,290,二三其節,0,0,0,0,0,1,0,0,0,0,0,0,0
291,292,十死九生,0,0,0,0,1,0,0,0,0,0,0,0,0
292,293,三灣九轉,0,0,0,0,1,0,0,0,0,0,0,0,0
293,294,三頭八臂,0,0,0,0,1,0,0,0,0,0,0,0,0
262,263,百不一就,0,0,0,0,1,0,0,0,0,0,0,0,0
260,261,暮四朝三,0,1,0,0,0,0,0,0,0,0,0,0,0
259,260,一門一姓,0,0,0,0,1,0,0,0,0,0,0,0,0
244,245,一游一豫,0,0,0,0,1,0,0,0,0,0,0,0,0
230,231,一事一例,0,0,0,0,1,0,0,0,0,0,0,0,0
231,232,挂一漏萬,0,1,0,0,0,0,0,0,0,0,0,0,0
232,233,千里一曲,0,0,0,0,1,0,0,0,0,0,0,0,0
235,236,百孔千創,0,0,0,0,1,0,0,0,0,0,0,0,0
237,238,萬歲千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
238,239,七稜八瓣,0,0,0,0,1,0,0,0,0,0,0,0,0
239,240,一缺十求,0,0,0,0,1,0,0,0,0,0,0,0,0
242,243,一折一磨,0,0,0,0,1,0,0,0,0,0,0,0,0
243,244,挑三攉四,0,1,0,0,0,0,0,0,0,0,0,0,0
245,246,千嚴萬壑,0,0,0,0,1,0,0,0,0,0,0,0,0
258,259,連三接二,0,1,0,0,0,0,0,0,0,0,0,0,0
246,247,推三諉四,0,1,0,0,0,0,0,0,0,0,0,0,0
247,248,千支萬派,0,0,0,0,1,0,0,0,0,0,0,0,0
248,249,萬落千村,0,0,0,0,1,0,0,0,0,0,0,0,0
250,251,接三換九,0,1,0,0,0,0,0,0,0,0,0,0,0
252,253,創一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
253,254,八達四通,0,0,0,0,1,0,0,0,0,0,0,0,0
254,255,一息千里,0,0,0,0,1,0,0,0,0,0,0,0,0
256,257,一階半職,0,0,0,0,1,0,0,0,0,0,0,0,0
257,258,萬無失一,0,0,0,1,0,0,0,0,0,0,0,0,0
155,156,千村萬落,0,0,0,0,1,0,0,0,0,0,0,0,0
154,155,七拉八扯,0,0,0,0,1,0,0,0,0,0,0,0,0
152,153,一本萬殊,0,0,0,0,1,0,0,0,0,0,0,0,0
146,147,千變萬態,0,0,0,0,1,0,0,0,0,0,0,0,0
32,33,三反四復,0,0,0,0,1,0,0,0,0,0,0,0,0
33,34,四百四病,0,0,1,0,1,1,0,0,0,0,0,0,0
35,36,挑三離四,0,1,0,0,0,0,0,0,0,0,0,0,0
36,37,千了百當,0,0,0,0,1,0,0,0,0,0,0,0,0
38,39,四海五湖,0,0,0,0,1,0,0,0,0,0,0,0,0
39,40,推三挨四,0,1,0,0,0,0,0,0,0,0,0,0,0
40,41,一階半級,0,0,0,0,1,0,0,0,0,0,0,0,0
41,42,未知萬一,1,0,0,0,0,0,0,0,0,0,0,0,0
43,44,百不當一,0,0,0,1,0,0,0,0,0,0,0,0,0
45,46,一德一心,0,0,0,0,1,0,0,0,0,0,0,0,0
46,47,三長四短,0,0,0,0,1,0,0,0,0,0,0,0,0
48,49,萬人一心,0,0,0,0,1,0,0,0,0,0,0,0,0
49,50,五合六聚,0,0,0,0,1,0,0,0,0,0,0,0,0
50,51,二滿三平,0,0,0,0,1,0,0,0,0,0,0,0,0
51,52,三旬九食,0,0,0,0,1,0,0,0,0,0,0,0,0
52,53,一差半錯,0,0,0,0,1,0,0,0,0,0,0,0,0
53,54,一遞一口,0,0,0,0,1,0,0,0,0,0,0,0,0
57,58,一十一五,1,1,1,1,1,1,0,0,0,0,0,0,0
60,61,八怪七喇,0,0,0,0,1,0,0,0,0,0,0,0,0
62,63,三番四覆,0,0,0,0,1,0,0,0,0,0,0,0,0
63,64,攢三聚五,0,1,0,0,0,0,0,0,0,0,0,0,0
31,32,三病四痛,0,0,0,0,1,0,0,0,0,0,0,0,0
30,31,三科九等,0,0,0,0,1,0,0,0,0,0,0,0,0
28,29,七搭八搭,0,0,0,0,1,0,0,0,0,0,0,0,0
13,14,一永一觴,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3,懲一戒百,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,九合一匡,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,整千整百,0,1,0,0,0,0,0,0,0,0,0,0,0
6,7,萬喚千呼,0,0,0,0,1,0,0,0,0,0,0,0,0
7,8,三薰三浴,0,0,0,0,1,0,0,0,0,0,0,0,0
8,9,掛一漏九,0,1,0,0,0,0,0,0,0,0,0,0,0
9,10,千回萬囀,0,0,0,0,1,0,0,0,0,0,0,0,0
11,12,萬頭千緒,0,0,0,0,1,0,0,0,0,0,0,0,0
12,13,千筆千言,0,0,0,0,1,0,0,0,0,0,0,0,0
14,15,翻三覆四,0,1,0,0,0,0,0,0,0,0,0,0,0
27,28,萬紅千翠,0,0,0,0,1,0,0,0,0,0,0,0,0
15,16,千依萬順,0,0,0,0,1,0,0,0,0,0,0,0,0
17,18,三墳五典,0,0,0,0,1,0,0,0,0,0,0,0,0
18,19,差三錯四,0,1,0,0,0,0,0,0,0,0,0,0,0
19,20,盈千纍萬,0,1,0,0,0,0,0,0,0,0,0,0,0
20,21,百折千回,0,0,0,0,1,0,0,0,0,0,0,0,0
21,22,四停八當,0,0,0,0,1,0,0,0,0,0,0,0,0
22,23,百羞五味,0,0,0,0,1,0,0,0,0,0,0,0,0
23,24,萬萬無疆,0,0,0,0,0,1,0,0,0,0,0,0,0
24,25,千歲一時,0,0,0,0,1,0,0,0,0,0,0,0,0
64,65,七准八折,0,0,0,0,1,0,0,0,0,0,0,0,0
65,66,一九牲畜,0,0,0,0,0,1,0,0,0,0,0,0,0
66,67,一領十起,0,0,0,0,1,0,0,0,0,0,0,0,0
129,130,一倡三歎,0,0,0,0,1,0,0,0,0,0,0,0,0
113,114,三省四勿,0,0,0,0,1,0,0,0,0,0,0,0,0
115,116,一發千鈞,0,0,0,0,1,0,0,0,0,0,0,0,0
117,118,駢四驪六,0,1,0,0,0,0,0,0,0,0,0,0,0
119,120,一筆三過,0,0,0,0,1,0,0,0,0,0,0,0,0
120,121,三翻四覆,0,0,0,0,1,0,0,0,0,0,0,0,0
122,123,擊一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
125,126,一鱗半甲,0,0,0,0,1,0,0,0,0,0,0,0,0
126,127,用一當十,0,1,0,0,0,0,0,0,0,0,0,0,0
128,129,一毫一絲,0,0,0,0,1,0,0,0,0,0,0,0,0
131,132,一國三公,0,0,0,0,1,0,0,0,0,0,0,0,0
111,112,珠履三千,1,0,0,0,0,0,0,0,0,0,0,0,0
132,133,十拿十穩,0,0,0,0,1,0,0,0,0,0,0,0,0
133,134,一樹百獲,0,0,0,0,1,0,0,0,0,0,0,0,0
134,135,一了千明,0,0,0,0,1,0,0,0,0,0,0,0,0
137,138,千人一律,0,0,0,0,1,0,0,0,0,0,0,0,0
138,139,駢四儷六,0,1,0,0,0,0,0,0,0,0,0,0,0
139,140,四時八起,0,0,0,0,1,0,0,0,0,0,0,0,0
142,143,半就半推,0,0,0,0,1,0,0,0,0,0,0,0,0
144,145,千憂百慮,0,0,0,0,1,0,0,0,0,0,0,0,0
145,146,七損八傷,0,0,0,0,1,0,0,0,0,0,0,0,0
112,113,五侯九伯,0,0,0,0,1,0,0,0,0,0,0,0,0
108,109,累萬盈千,0,1,0,0,0,0,0,0,0,0,0,0,0
68,69,倒四顛三,0,1,0,0,0,0,0,0,0,0,0,0,0
86,87,千手一律,0,0,0,0,1,0,0,0,0,0,0,0,0
69,70,三浴三熏,0,0,0,0,1,0,0,0,0,0,0,0,0
70,71,十死一生,0,0,0,0,1,0,0,0,0,0,0,0,0
72,73,四級三審,0,0,0,0,1,0,0,0,0,0,0,0,0
73,74,萬口一談,0,0,0,0,1,0,0,0,0,0,0,0,0
74,75,百伶百俐,0,0,0,0,1,0,0,0,0,0,0,0,0
79,80,一予一奪,0,0,0,0,1,0,0,0,0,0,0,0,0
82,83,二三其意,0,0,0,0,0,1,0,0,0,0,0,0,0
84,85,巴三覽四,0,1,0,0,0,0,0,0,0,0,0,0,0
85,86,舉一廢百,0,1,0,0,0,0,0,0,0,0,0,0,0
87,88,三不拗六,0,0,0,1,0,0,0,0,0,0,0,0,0
106,107,說千說萬,0,1,0,0,0,0,0,0,0,0,0,0,0
89,90,四荒八極,0,0,0,0,1,0,0,0,0,0,0,0,0
90,91,的一確二,0,1,0,0,0,0,0,0,0,0,0,0,0
92,93,萬載一遇,0,0,0,0,1,0,0,0,0,0,0,0,0
93,94,十行一目,0,0,0,0,1,0,0,0,0,0,0,0,0
97,98,一差一錯,0,0,0,0,1,0,0,0,0,0,0,0,0
99,100,怕三怕四,0,1,0,0,0,0,0,0,0,0,0,0,0
101,102,百里之半,0,0,0,1,0,0,0,0,0,0,0,0,0
103,104,一夕九徙,0,0,0,0,1,0,0,0,0,0,0,0,0
105,106,千頭百緒,0,0,0,0,1,0,0,0,0,0,0,0,0
294,295,七大八小,0,0,0,0,1,0,0,0,0,0,0,0,0
295,296,七穿八穴,0,0,0,0,1,0,0,0,0,0,0,0,0
296,297,一夜十起,0,0,0,0,1,0,0,0,0,0,0,0,0
442,443,一成一變,0,0,0,0,1,0,0,0,0,0,0,0,0
474,475,以一馭萬,0,1,0,0,0,0,0,0,0,0,0,0,0
475,476,五裂四分,0,0,0,0,1,0,0,0,0,0,0,0,0
477,478,一蛇二首,0,0,0,0,1,0,0,0,0,0,0,0,0
479,480,教一識百,0,1,0,0,0,0,0,0,0,0,0,0,0
480,481,七十二候,0,0,1,0,1,1,0,0,0,0,0,0,0
481,482,一生九死,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,連三接四,0,1,0,0,0,0,0,0,0,0,0,0,0
483,484,帶甲百萬,1,0,0,0,0,0,0,0,0,0,0,0,0
487,488,四山五嶽,0,0,0,0,1,0,0,0,0,0,0,0,0
488,489,三十有室,0,0,0,0,0,1,0,0,0,0,0,0,0
490,491,張三呂四,0,1,0,0,0,0,0,0,0,0,0,0,0
491,492,一刀一鎗,0,0,0,0,1,0,0,0,0,0,0,0,0
492,493,三朝五日,0,0,0,0,1,0,0,0,0,0,0,0,0
493,494,三冬二夏,0,0,0,0,1,0,0,0,0,0,0,0,0
494,495,李四張三,0,1,0,0,0,0,0,0,0,0,0,0,0
495,496,一龍九種,0,0,0,0,1,0,0,0,0,0,0,0,0
496,497,賞一勸百,0,1,0,0,0,0,0,0,0,0,0,0,0
497,498,八兩半斤,0,0,0,0,1,0,0,0,0,0,0,0,0
498,499,九耕三餘,0,0,0,0,1,0,0,0,0,0,0,0,0
500,501,百慮一得,0,0,0,0,1,0,0,0,0,0,0,0,0
501,502,夾七帶八,0,1,0,0,0,0,0,0,0,0,0,0,0
472,473,一言半句,0,0,0,0,1,0,0,0,0,0,0,0,0
471,472,七肥八瘦,0,0,0,0,1,0,0,0,0,0,0,0,0
470,471,一般一配,0,0,0,0,1,0,0,0,0,0,0,0,0
456,457,百不一爽,0,0,0,0,1,0,0,0,0,0,0,0,0
445,446,千仇萬恨,0,0,0,0,1,0,0,0,0,0,0,0,0
446,447,千葩萬蕊,0,0,0,0,1,0,0,0,0,0,0,0,0
447,448,三徵七辟,0,0,0,0,1,0,0,0,0,0,0,0,0
448,449,百能百俐,0,0,0,0,1,0,0,0,0,0,0,0,0
449,450,掛一漏百,0,1,0,0,0,0,0,0,0,0,0,0,0
451,452,一窮二日,0,0,0,0,1,0,0,0,0,0,0,0,0
452,453,成三破二,0,1,0,0,0,0,0,0,0,0,0,0,0
453,454,千幅一律,0,0,0,0,1,0,0,0,0,0,0,0,0
455,456,五角六張,0,0,0,0,1,0,0,0,0,0,0,0,0
457,458,一狠百狠,0,0,0,0,1,0,0,0,0,0,0,0,0
469,470,一旦一夕,0,0,0,0,1,0,0,0,0,0,0,0,0
458,459,萬戶千門,0,0,0,0,1,0,0,0,0,0,0,0,0
460,461,歪七豎八,0,1,0,0,0,0,0,0,0,0,0,0,0
461,462,一裘一葛,0,0,0,0,1,0,0,0,0,0,0,0,0
462,463,一了百當,0,0,0,0,1,0,0,0,0,0,0,0,0
463,464,五雀六燕,0,0,0,0,1,0,0,0,0,0,0,0,0
464,465,一潭一水,0,0,0,0,1,0,0,0,0,0,0,0,0
466,467,四會五達,0,0,0,0,1,0,0,0,0,0,0,0,0
467,468,十室九虛,0,0,0,0,1,0,0,0,0,0,0,0,0
468,469,六通四達,0,0,0,0,1,0,0,0,0,0,0,0,0
502,503,千回百轉,0,0,0,0,1,0,0,0,0,0,0,0,0
503,504,一齊二整,0,0,0,0,1,0,0,0,0,0,0,0,0
504,505,一夕一朝,0,0,0,0,1,0,0,0,0,0,0,0,0
554,555,一還一報,0,0,0,0,1,0,0,0,0,0,0,0,0
540,541,十里挑一,0,0,0,1,0,0,0,0,0,0,0,0,0
541,542,三牲五鼎,0,0,0,0,1,0,0,0,0,0,0,0,0
543,544,懲一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
545,546,遮三掩四,0,1,0,0,0,0,0,0,0,0,0,0,0
546,547,一暴十寒,0,0,0,0,1,0,0,0,0,0,0,0,0
547,548,丁一確二,0,1,0,0,0,0,0,0,0,0,0,0,0
548,549,三迴九轉,0,0,0,0,1,0,0,0,0,0,0,0,0
549,550,一兔百逐,0,0,0,0,1,0,0,0,0,0,0,0,0
550,551,萬嬌千媚,0,0,0,0,1,0,0,0,0,0,0,0,0
555,556,萬代千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
537,538,萬計千方,0,0,0,0,1,0,0,0,0,0,0,0,0
556,557,千金一諾,0,0,0,0,1,0,0,0,0,0,0,0,0
557,558,百順百依,0,0,0,0,1,0,0,0,0,0,0,0,0
559,560,三班六房,0,0,0,0,1,0,0,0,0,0,0,0,0
560,561,不三小四,0,1,0,0,0,0,0,0,0,0,0,0,0
566,567,百不失一,0,0,0,1,0,0,0,0,0,0,0,0,0
567,568,七穿八洞,0,0,0,0,1,0,0,0,0,0,0,0,0
568,569,一息萬變,0,0,0,0,1,0,0,0,0,0,0,0,0
570,571,挑三窩四,0,1,0,0,0,0,0,0,0,0,0,0,0
571,572,一髮千鈞,0,0,0,0,1,0,0,0,0,0,0,0,0
539,540,三翻四復,0,0,0,0,1,0,0,0,0,0,0,0,0
536,537,罰一勸百,0,1,0,0,0,0,0,0,0,0,0,0,0
505,506,一差百錯,0,0,0,0,1,0,0,0,0,0,0,0,0
519,520,三網五常,0,0,0,0,1,0,0,0,0,0,0,0,0
507,508,六街三市,0,0,0,0,1,0,0,0,0,0,0,0,0
508,509,十成九穩,0,0,0,0,1,0,0,0,0,0,0,0,0
510,511,一舉千里,0,0,0,0,1,0,0,0,0,0,0,0,0
512,513,三千珠履,0,0,0,0,0,1,0,0,0,0,0,0,0
513,514,丁一卯二,0,1,0,0,0,0,0,0,0,0,0,0,0
514,515,千中揀一,0,0,0,1,0,0,0,0,0,0,0,0,0
515,516,成千累萬,0,1,0,0,0,0,0,0,0,0,0,0,0
516,517,七歪八扭,0,0,0,0,1,0,0,0,0,0,0,0,0
518,519,九五之位,0,0,0,0,0,1,0,0,0,0,0,0,0
520,521,貔貅百萬,1,0,0,0,0,0,0,0,0,0,0,0,0
535,536,百舉百捷,0,0,0,0,1,0,0,0,0,0,0,0,0
521,522,八節四時,0,0,0,0,1,0,0,0,0,0,0,0,0
523,524,盈千累百,0,1,0,0,0,0,0,0,0,0,0,0,0
524,525,一錯百錯,0,0,0,0,1,0,0,0,0,0,0,0,0
527,528,七步八叉,0,0,0,0,1,0,0,0,0,0,0,0,0
529,530,言十妄九,0,1,0,0,0,0,0,0,0,0,0,0,0
530,531,得一望二,0,1,0,0,0,0,0,0,0,0,0,0,0
532,533,一律千篇,0,0,0,0,1,0,0,0,0,0,0,0,0
533,534,千真萬碓,0,0,0,0,1,0,0,0,0,0,0,0,0
534,535,萬險千艱,0,0,0,0,1,0,0,0,0,0,0,0,0
444,445,十色五光,0,0,0,0,1,0,0,0,0,0,0,0,0
440,441,一遞一答,0,0,0,0,1,0,0,0,0,0,0,0,0
297,298,一噴一醒,0,0,0,0,1,0,0,0,0,0,0,0,0
439,440,九棘三槐,0,0,0,0,1,0,0,0,0,0,0,0,0
340,341,七推八阻,0,0,0,0,1,0,0,0,0,0,0,0,0
341,342,萬世一時,0,0,0,0,1,0,0,0,0,0,0,0,0
342,343,萬紅千紫,0,0,0,0,1,0,0,0,0,0,0,0,0
343,344,千變萬狀,0,0,0,0,1,0,0,0,0,0,0,0,0
344,345,十病九痛,0,0,0,0,1,0,0,0,0,0,0,0,0
345,346,百謀千計,0,0,0,0,1,0,0,0,0,0,0,0,0
346,347,千秋萬苦,0,0,0,0,1,0,0,0,0,0,0,0,0
348,349,距躍三百,1,0,0,0,0,0,0,0,0,0,0,0,0
350,351,五風十雨,0,0,0,0,1,0,0,0,0,0,0,0,0
351,352,三戰三走,0,0,0,0,1,0,0,0,0,0,0,0,0
353,354,三分四散,0,0,0,0,1,0,0,0,0,0,0,0,0
354,355,六府三事,0,0,0,0,1,0,0,0,0,0,0,0,0
355,356,百代一時,0,0,0,0,1,0,0,0,0,0,0,0,0
356,357,一吹一唱,0,0,0,0,1,0,0,0,0,0,0,0,0
357,358,一字一板,0,0,0,0,1,0,0,0,0,0,0,0,0
358,359,百堿D一,0,0,0,1,0,0,0,0,0,0,0,0,0
359,360,萬恨千愁,0,0,0,0,1,0,0,0,0,0,0,0,0
360,361,五積六受,0,0,0,0,1,0,0,0,0,0,0,0,0
361,362,千妥萬妥,0,0,0,0,1,0,0,0,0,0,0,0,0
363,364,念三道四,0,1,0,0,0,0,0,0,0,0,0,0,0
364,365,七拼八溱,0,0,0,0,1,0,0,0,0,0,0,0,0
335,336,三頭二面,0,0,0,0,1,0,0,0,0,0,0,0,0
334,335,七首八腳,0,0,0,0,1,0,0,0,0,0,0,0,0
333,334,四六偶對,0,0,0,0,0,1,0,0,0,0,0,0,0
313,314,猜三划五,0,1,0,0,0,0,0,0,0,0,0,0,0
298,299,殺一利百,0,1,0,0,0,0,0,0,0,0,0,0,0
299,300,一飯千金,0,0,0,0,1,0,0,0,0,0,0,0,0
300,301,萬廿一時,0,0,0,0,1,0,0,0,0,0,0,0,0
301,302,七平八穩,0,0,0,0,1,0,0,0,0,0,0,0,0
304,305,五帝三王,0,0,0,0,1,0,0,0,0,0,0,0,0
305,306,七老八大,0,0,0,0,1,0,0,0,0,0,0,0,0
307,308,一資半級,0,0,0,0,1,0,0,0,0,0,0,0,0
308,309,萬轉千回,0,0,0,0,1,0,0,0,0,0,0,0,0
311,312,千回萬轉,0,0,0,0,1,0,0,0,0,0,0,0,0
315,316,七擒八縱,0,0,0,0,1,0,0,0,0,0,0,0,0
331,332,五行八作,0,0,0,0,1,0,0,0,0,0,0,0,0
317,318,一厘一毫,0,0,0,0,1,0,0,0,0,0,0,0,0
318,319,百六之會,0,0,0,0,0,1,0,0,0,0,0,0,0
319,320,半城半鄉,0,0,0,0,1,0,0,0,0,0,0,0,0
322,323,五常三綱,0,0,0,0,1,0,0,0,0,0,0,0,0
324,325,三風十愆,0,0,0,0,1,0,0,0,0,0,0,0,0
325,326,萬載千秋,0,0,0,0,1,0,0,0,0,0,0,0,0
327,328,四不拗六,0,0,0,1,0,0,0,0,0,0,0,0,0
329,330,一隅三反,0,0,0,0,1,0,0,0,0,0,0,0,0
330,331,千妥萬當,0,0,0,0,1,0,0,0,0,0,0,0,0
366,367,三蛇九鼠,0,0,0,0,1,0,0,0,0,0,0,0,0
367,368,一縷千鈞,0,0,0,0,1,0,0,0,0,0,0,0,0
371,372,七停八當,0,0,0,0,1,0,0,0,0,0,0,0,0
425,426,一眼三關,0,0,0,0,1,0,0,0,0,0,0,0,0
410,411,千盤百折,0,0,0,0,1,0,0,0,0,0,0,0,0
412,413,百態千嬌,0,0,0,0,1,0,0,0,0,0,0,0,0
415,416,七十二行,0,0,1,0,1,1,0,0,0,0,0,0,0
416,417,萬代一時,0,0,0,0,1,0,0,0,0,0,0,0,0
417,418,一板三眼,0,0,0,0,1,0,0,0,0,0,0,0,0
418,419,七斷八續,0,0,0,0,1,0,0,0,0,0,0,0,0
421,422,一致百慮,0,0,0,0,1,0,0,0,0,0,0,0,0
422,423,一馬一鞍,0,0,0,0,1,0,0,0,0,0,0,0,0
424,425,丁一确二,0,1,0,0,0,0,0,0,0,0,0,0,0
426,427,二帝三王,0,0,0,0,1,0,0,0,0,0,0,0,0
407,408,百中百發,0,0,0,0,1,0,0,0,0,0,0,0,0
427,428,九流三教,0,0,0,0,1,0,0,0,0,0,0,0,0
428,429,八元八愷,0,0,0,0,1,0,0,0,0,0,0,0,0
430,431,一鞍一馬,0,0,0,0,1,0,0,0,0,0,0,0,0
431,432,一長半短,0,0,0,0,1,0,0,0,0,0,0,0,0
432,433,二三其志,0,0,0,0,0,1,0,0,0,0,0,0,0
434,435,一薰一蕕,0,0,0,0,1,0,0,0,0,0,0,0,0
435,436,一模二樣,0,0,0,0,1,0,0,0,0,0,0,0,0
436,437,三推五問,0,0,0,0,1,0,0,0,0,0,0,0,0
437,438,一薰一獲,0,0,0,0,1,0,0,0,0,0,0,0,0
409,410,三媒六證,0,0,0,0,1,0,0,0,0,0,0,0,0
406,407,耕三餘一,0,1,0,0,0,0,0,0,0,0,0,0,0
374,375,奮擊百萬,1,0,0,0,0,0,0,0,0,0,0,0,0
390,391,千愁萬歲,0,0,0,0,1,0,0,0,0,0,0,0,0
375,376,三釁三沐,0,0,0,0,1,0,0,0,0,0,0,0,0
377,378,一遞一聲,0,0,0,0,1,0,0,0,0,0,0,0,0
380,381,十風五雨,0,0,0,0,1,0,0,0,0,0,0,0,0
381,382,四起八拜,0,0,0,0,1,0,0,0,0,0,0,0,0
382,383,百不一失,0,0,0,0,1,0,0,0,0,0,0,0,0
384,385,半死半生,0,0,0,0,1,0,0,0,0,0,0,0,0
385,386,四平八滿,0,0,0,0,1,0,0,0,0,0,0,0,0
387,388,三五成?,0,0,0,0,0,1,0,0,0,0,0,0,0
388,389,一門千指,0,0,0,0,1,0,0,0,0,0,0,0,0
392,393,千歡萬悅,0,0,0,0,1,0,0,0,0,0,0,0,0
405,406,二三其操,0,0,0,0,0,1,0,0,0,0,0,0,0
393,394,三仕三巳,0,0,0,0,1,0,0,0,0,0,0,0,0
395,396,虎賁三千,1,0,0,0,0,0,0,0,0,0,0,0,0
398,399,六通四辟,0,0,0,0,1,0,0,0,0,0,0,0,0
399,400,事半功百,0,1,0,0,0,0,0,0,0,0,0,0,0
400,401,十捉九著,0,0,0,0,1,0,0,0,0,0,0,0,0
401,402,倒三顛四,0,1,0,0,0,0,0,0,0,0,0,0,0
402,403,百無一漏,0,0,0,0,1,0,0,0,0,0,0,0,0
403,404,半羞半喜,0,0,0,0,1,0,0,0,0,0,0,0,0
404,405,千謀百計,0,0,0,0,1,0,0,0,0,0,0,0,0
482,483,一壺千金,0,0,0,0,1,0,0,0,0,0,0,0,0
